clocks;direct;reverse;random
1.00 KB;4;4;4
1.20 KB;4;4;4
1.44 KB;4;4;4
1.73 KB;4;4;4
2.07 KB;4;4;4
2.48 KB;4;4;4
2.98 KB;4;4;4
3.58 KB;4;4;4
4.29 KB;4;4;4
5.15 KB;4;4;4
6.18 KB;4;4;4
7.41 KB;4;4;4
8.90 KB;4;4;4
10.67 KB;4;4;4
12.81 KB;4;4;4
15.37 KB;4;4;4
18.44 KB;4;4;4
22.13 KB;4;4;4
26.56 KB;4;4;4
31.87 KB;4;4;4
38.24 KB;4;4;5
45.89 KB;4;4;5
55.07 KB;4;4;6
66.08 KB;4;4;7
79.30 KB;4;4;7
95.16 KB;4;4;7
114.19 KB;4;4;8
137.03 KB;4;4;8
164.43 KB;4;4;8
197.32 KB;4;4;8
236.78 KB;4;4;8
284.13 KB;4;4;9
340.96 KB;4;4;10
409.15 KB;4;4;11
490.98 KB;4;4;16
589.18 KB;4;4;16
707.01 KB;4;4;19
848.42 KB;4;4;22
1018.10 KB;4;4;25
1.19 MB;4;4;27
1.43 MB;4;4;29
1.72 MB;4;4;30
2.06 MB;4;4;32
2.47 MB;4;4;33
2.97 MB;4;4;33
3.56 MB;4;4;34
4.28 MB;4;4;32
5.13 MB;4;4;33
6.16 MB;4;4;32
7.39 MB;4;4;33
8.86 MB;4;4;33
10.64 MB;4;4;33
12.77 MB;4;4;36
15.32 MB;4;4;54
18.38 MB;4;4;88
22.06 MB;4;4;118
26.47 MB;4;4;143
31.76 MB;4;4;166
32.00 MB;4;4;166
